Strain,Replicate,BioRep,TechRep,Treatment,OD,Person
y003,8,1,A,5,1.1819,M
y126,8,1,A,5,0.1314,M
y119,8,1,B,5,1.335,M
y054,8,1,B,5,1.183,M
y003,8,1,B,5,1.1512,M
y126,8,1,B,5,0.1136,M
y119,9,1,A,5,1.3978,M
y054,9,1,A,5,1.2295,M
y003,9,1,A,5,1.3906,M
y126,9,1,A,5,1.3596,M
y119,9,1,B,5,1.3438,M
y054,9,1,B,5,1.1856,M
y003,9,1,B,5,1.3857,M
y126,9,1,B,5,1.3542,M
y119,10,1,A,5,1.4009,M
y054,10,1,A,5,1.2317,M
y003,10,1,A,5,1.4026,M
y126,10,1,A,5,1.3606,M
y119,10,1,B,5,1.3623,M
y054,10,1,B,5,1.1856,M
y003,10,1,B,5,1.4017,M
y126,10,1,B,5,1.3196,M
y119,11,1,A,5,1.4028,M
y054,11,1,A,5,1.2214,M
y003,11,1,A,5,0.1007,M
y126,11,1,A,5,1.3686,M
y119,11,1,B,5,1.3798,M
y054,11,1,B,5,1.1656,M
y003,11,1,B,5,0.1024,M
y126,11,1,B,5,1.3411,M
y119,12,1,A,5,1.3788,M
y054,12,1,A,5,0.44,M
y003,12,1,A,5,1.2958,M
y126,12,1,A,5,1.3956,M
y119,12,1,B,5,1.3831,M
y054,12,1,B,5,0.1024,M
y003,12,1,B,5,1.2986,M
y126,12,1,B,5,1.3814,M
y119,1,2,A,0,1.4387,M
y054,1,2,A,0,1.2965,M
y003,1,2,A,0,1.3505,M
y126,1,2,A,0,1.4002,M
y119,1,2,B,0,1.4109,M
y054,1,2,B,0,1.2547,M
y003,1,2,B,0,1.2957,M
y126,1,2,B,0,1.3628,M
y119,2,2,A,0,1.43,M
y054,2,2,A,0,1.2896,M
y003,2,2,A,0,1.3863,M
y126,2,2,A,0,1.39,M
y119,2,2,B,0,1.4109,M
y054,2,2,B,0,1.2391,M
y003,2,2,B,0,1.3413,M
y126,2,2,B,0,1.3362,M
y119,3,2,A,0,1.4429,M
y054,3,2,A,0,1.2928,M
y003,3,2,A,0,1.3915,M
y126,3,2,A,0,1.4055,M
y119,3,2,B,0,1.4308,M
y054,3,2,B,0,1.2459,M
y003,3,2,B,0,1.3558,M
y126,3,2,B,0,1.3649,M
y119,4,2,A,0,1.4654,M
y054,4,2,A,0,1.3276,M
y003,4,2,A,0,1.4322,M
y126,4,2,A,0,1.406,M
y119,4,2,B,0,1.4496,M
y054,4,2,B,0,1.297,M
y003,4,2,B,0,1.4189,M
y126,4,2,B,0,1.3758,M
y119,5,2,A,0,1.4412,M
y054,5,2,A,0,1.3015,M
y003,5,2,A,0,1.4221,M
y126,5,2,A,0,1.4072,M
y119,5,2,B,0,1.4466,M
y054,5,2,B,0,1.2591,M
y003,5,2,B,0,1.4267,M
y126,5,2,B,0,1.3782,M
y119,6,2,A,0,1.4261,M
y054,6,2,A,0,1.2836,M
y003,6,2,A,0,1.4152,M
y126,6,2,A,0,1.3853,M
y119,6,2,B,0,1.4084,M
y054,6,2,B,0,1.2508,M
y003,6,2,B,0,1.4094,M
y126,6,2,B,0,1.3569,M
y119,7,2,A,0,1.4182,M
y054,7,2,A,0,1.3108,M
y003,7,2,A,0,1.4175,M
y126,7,2,A,0,1.4054,M
y119,7,2,B,0,1.3851,M
y054,7,2,B,0,1.2745,M
y003,7,2,B,0,1.4179,M
y126,7,2,B,0,1.3783,M
y119,8,2,A,0,1.4399,M
y054,8,2,A,0,1.2966,M
y003,8,2,A,0,0.1025,M
y126,8,2,A,0,1.3834,M
y119,8,2,B,0,1.4163,M
y054,8,2,B,0,1.2616,M
y003,8,2,B,0,0.1065,M
y126,8,2,B,0,1.3729,M
y119,9,2,A,0,1.4321,M
y054,9,2,A,0,1.3157,M
y003,9,2,A,0,1.422,M
y126,9,2,A,0,1.3969,M
y119,9,2,B,0,1.4254,M
y054,9,2,B,0,1.2853,M
y003,9,2,B,0,1.4188,M
y126,9,2,B,0,1.3851,M
y119,10,2,A,0,1.4114,M
y054,10,2,A,0,1.301,M
y003,10,2,A,0,1.4232,M
y126,10,2,A,0,1.4131,M
