"","Strain","Evol - Anc","t-statistic","Degrees of freedom","p-value"
"1","y003",0.29,10.89,31.17,"< 0.0001"
"2","y054",-0.03,-1,21.98,"0.3283"
"3","y106",0.11,3.06,11.91,"0.01"
"4","y109",0.33,10.1,19.88,"< 0.0001"
"5","y110",0.2,4.99,7.27,"0.0014"
"6","y116",0.45,5.94,3.02,"0.0093"
"7","y119",0.05,2.47,17.57,"0.0239"
"8","y126",-0.01,-0.55,19.83,"0.5904"
