ID,strain,replicate,technical_replicate,Drug,time,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope,Person
G_8_t0_a,y003,8,A,,0,11,12,14,0.4,0.22,0.22,158.3,M
G_8_t0_b,y003,8,B,,0,11,12,13,0.47,0.25,0.23,243.8,M
G_8_t5_a,y003,8,A,0.5,5,0,13,14,,0.47,0.41,51.7,M
G_8_t5_b,y003,8,B,0.5,5,0,12,13,,0.52,0.45,182.8,M
G_9_t0_a,y003,9,A,,0,12,12,14,0.07,0.06,0.14,201,M
G_9_t0_b,y003,9,B,,0,12,13,14,0.06,0.08,0.12,192.3,M
G_9_t5_a,y003,9,A,0.5,5,7,15,16,0.37,0.33,0.31,30.5,M
G_9_t5_b,y003,9,B,0.5,5,7,16,22,0.6,0.44,0.43,35.2,M
H_1_t0_a,y126,1,A,,0,5,9,10,0.31,0.29,0.25,185.1,M
H_1_t0_b,y126,1,B,,0,6,9,10,0.49,0.26,0.26,165.2,M
H_1_t5_a,y126,1,A,0.5,5,6,10,11,0.3,0.35,0.26,132.2,M
H_1_t5_b,y126,1,B,0.5,5,5,10,11,0.58,0.41,0.3,134,M
H_10_t0_a,y126,10,A,,0,8,10,12,0.64,0.35,0.3,112.7,M
H_10_t0_b,y126,10,B,,0,2,10,12,0.54,0.56,0.42,61.7,M
H_10_t5_a,y126,10,A,0.5,5,6,12,13,0.33,0.38,0.35,37.2,M
H_10_t5_b,y126,10,B,0.5,5,7,11,14,0.76,0.41,0.39,54.8,M
H_11_t0_a,y126,11,A,,0,6,11,12,0.32,0.27,0.27,138.5,M
H_11_t0_b,y126,11,B,,0,5,10,11,0.39,0.38,0.3,111.1,M
H_11_t5_a,y126,11,A,0.5,5,12,14,18,0.38,0.26,0.35,43.1,M
H_11_t5_b,y126,11,B,0.5,5,10,12,14,0.44,0.25,0.26,80.8,M
H_12_t0_a,y126,12,A,,0,7,10,12,0.31,0.31,0.25,110.5,M
H_12_t0_b,y126,12,B,,0,5,10,12,0.22,0.37,0.3,67.6,M
H_12_t5_a,y126,12,A,0.5,5,6,10,12,0.39,0.35,0.31,109.3,M
H_12_t5_b,y126,12,B,0.5,5,8,11,12,0.18,0.19,0.2,127.6,M
H_2_t0_a,y126,2,A,,0,7,9,10,0.48,0.27,0.23,195.3,M
H_2_t0_b,y126,2,B,,0,5,9,10,0.44,0.41,0.29,137,M
H_2_t5_a,y126,2,A,0.5,5,11,13,15,0.4,0.22,0.25,41.4,M
H_2_t5_b,y126,2,B,0.5,5,7,11,12,0.32,0.28,0.25,99,M
H_3_t0_a,y126,3,A,,0,5,10,11,0.54,0.35,0.31,161.1,M
H_3_t0_b,y126,3,B,,0,3,9,10,0.58,0.52,0.37,125.6,M
H_3_t5_a,y126,3,A,0.5,5,9,12,14,0.44,0.29,0.29,83.8,M
H_3_t5_b,y126,3,B,0.5,5,7,11,12,0.34,0.26,0.25,86.8,M
H_4_t0_a,y126,4,A,,0,5,10,11,0.39,0.3,0.27,167.9,M
H_4_t0_b,y126,4,B,,0,4,10,11,0.44,0.39,0.31,109.2,M
H_4_t5_a,y126,4,A,0.5,5,14,16,17,0.61,0.28,0.27,25.5,M
H_4_t5_b,y126,4,B,0.5,5,14,16,17,0.66,0.32,0.31,28.5,M
H_5_t0_a,y126,5,A,,0,5,11,12,0.47,0.35,0.33,76.1,M
H_5_t0_b,y126,5,B,,0,3,10,12,0.71,0.49,0.39,58.3,M
H_5_t5_a,y126,5,A,0.5,5,14,16,16,0.44,0.22,0.22,42,M
H_5_t5_b,y126,5,B,0.5,5,9,15,17,0.46,0.31,0.3,42.8,M
H_6_t0_a,y126,6,A,,0,2,9,10,0.44,0.52,0.39,108.3,M
H_6_t0_b,y126,6,B,,0,4,10,11,0.47,0.42,0.34,104.7,M
H_6_t5_a,y126,6,A,0.5,5,7,11,14,0.6,0.36,0.37,53.3,M
H_6_t5_b,y126,6,B,0.5,5,2,11,13,0.63,0.5,0.41,55.7,M
H_7_t0_a,y126,7,A,,0,3,10,11,0.59,0.49,0.38,79.4,M
H_7_t0_b,y126,7,B,,0,6,11,12,0.3,0.31,0.27,103.6,M
H_7_t5_a,y126,7,A,0.5,5,4,12,13,0.56,0.45,0.36,69.8,M
H_7_t5_b,y126,7,B,0.5,5,2,10,11,0.61,0.55,0.4,82.4,M
H_8_t0_a,y126,8,A,,0,3,10,12,0.35,0.44,0.37,58.6,M
H_8_t0_b,y126,8,B,,0,4,9,10,0.61,0.51,0.37,132.6,M
H_8_t5_a,y126,8,A,0.5,5,1,1,1,,,,2.5,M
H_8_t5_b,y126,8,B,0.5,5,1,1,1,,,,1.7,M
H_9_t0_a,y126,9,A,,0,6,9,10,0.39,0.32,0.22,203.1,M
H_9_t0_b,y126,9,B,,0,6,9,10,0.41,0.32,0.24,137.1,M
H_9_t5_a,y126,9,A,0.5,5,10,12,13,0.36,0.22,0.2,100.5,M
H_9_t5_b,y126,9,B,0.5,5,10,12,13,0.47,0.26,0.24,98.3,M
