Strain,Replicate,TechRep,Drug,LevelEvolvedTo,Time,OD_24h,OD_48h,OD_72h,Person,,,,,,,,
y003,6,B,0.03,0.12,t5,0.1613,0.8009,0.9689,Q,,,,,,,,
y003,7,B,0.03,0.12,t5,0.1091,0.5901,1.148,Q,,,,,,,,
y003,8,B,0.03,0.12,t5,0.3478,1.1356,1.0565,Q,,,,,,,,
y003,9,B,0.03,0.12,t5,0.1978,0.8012,0.8612,Q,,,,,,,,
y003,10,B,0.03,0.12,t5,0.1323,1.0742,1.2367,Q,,,,,,,,
y003,11,B,0.03,0.12,t5,0.1038,0.1223,0.0519,Q,,,,,,,,
y003,12,B,0.03,0.12,t5,0.1048,0.1251,0.3021,Q,,,,,,,,
y003,1,A,0.12,0.12,t5,0.1022,0.1664,0.0557,Q,,,,,,,,
y003,2,A,0.12,0.12,t5,0.1986,0.2559,0.4231,Q,,,,,,,,
y003,3,A,0.12,0.12,t5,0.1687,0.6156,0.6716,Q,,,,,,,,
y003,4,A,0.12,0.12,t5,0.2078,0.2331,0.0546,Q,,,,,,,,
y003,5,A,0.12,0.12,t5,0.1361,0.2898,0.055,Q,,,,,,,,
y003,6,A,0.12,0.12,t5,0.1804,0.8656,1.0006,Q,,,,,,,,
y003,7,A,0.12,0.12,t5,0.2075,0.9765,1.1905,Q,,,,,,,,
y003,8,A,0.12,0.12,t5,0.2709,0.9273,0.8006,Q,,,,,,,,
y003,9,A,0.12,0.12,t5,0.2221,0.7864,0.7245,Q,,,,,,,,
y003,10,A,0.12,0.12,t5,0.105,0.2782,0.0554,Q,,,,,,,,
y003,11,A,0.12,0.12,t5,0.1032,0.4913,0.7338,Q,,,,,,,,
y003,12,A,0.12,0.12,t5,0.1356,0.4503,0.6333,Q,,,,,,,,
y003,1,B,0.12,0.12,t5,0.1235,0.3888,0.8687,Q,,,,,,,,
y003,2,B,0.12,0.12,t5,0.1042,0.1185,0.0558,Q,,,,,,,,
y003,3,B,0.12,0.12,t5,0.1361,0.8221,1.0291,Q,,,,,,,,
y003,4,B,0.12,0.12,t5,0.1032,0.3316,0.0545,Q,,,,,,,,
y003,5,B,0.12,0.12,t5,0.1039,0.2237,0.0545,Q,,,,,,,,
y003,6,B,0.12,0.12,t5,0.1712,0.7666,0.8971,Q,,,,,,,,
y003,7,B,0.12,0.12,t5,0.1072,0.2195,0.2896,Q,,,,,,,,
y003,8,B,0.12,0.12,t5,0.3609,0.9519,0.8705,Q,,,,,,,,
y003,9,B,0.12,0.12,t5,0.149,0.6812,0.7155,Q,,,,,,,,
y003,10,B,0.12,0.12,t5,0.105,0.1291,0.1239,Q,,,,,,,,
y003,11,B,0.12,0.12,t5,0.1019,0.1261,0.0552,Q,,,,,,,,
y003,12,B,0.12,0.12,t5,0.1039,0.3477,0.6143,Q,,,,,,,,
y003,1,A,0.5,0.12,t5,0.0811,0.0902,0.0552,Q,,,,,,,,
y003,2,A,0.5,0.12,t5,0.2305,0.912,1.043,Q,,,,,,,,
y003,3,A,0.5,0.12,t5,0.091,0.3609,0.0533,Q,,,,,,,,
y003,4,A,0.5,0.12,t5,0.0831,0.1202,0.0541,Q,,,,,,,,
y003,5,A,0.5,0.12,t5,0.105,0.1101,0.0544,Q,,,,,,,,
y003,6,A,0.5,0.12,t5,0.2345,1.0072,1.0678,Q,,,,,,,,
y003,7,A,0.5,0.12,t5,0.2836,0.3023,0.6952,Q,,,,,,,,
y003,8,A,0.5,0.12,t5,0.4635,0.8853,0.7743,Q,,,,,,,,
y003,9,A,0.5,0.12,t5,0.4095,0.8738,0.7875,Q,,,,,,,,
y003,10,A,0.5,0.12,t5,0.5165,0.1091,0.1019,Q,,,,,,,,
y003,11,A,0.5,0.12,t5,0.0829,0.215,0.0549,Q,,,,,,,,
y003,12,A,0.5,0.12,t5,0.1727,0.9372,0.998,Q,,,,,,,,
y003,1,B,0.5,0.12,t5,0.1018,0.0917,0.0534,Q,,,,,,,,
y003,2,B,0.5,0.12,t5,0.4248,0.3657,0.6091,Q,,,,,,,,
y003,3,B,0.5,0.12,t5,0.4394,0.3445,0.2372,Q,,,,,,,,
y003,4,B,0.5,0.12,t5,0.3435,0.3227,0.0544,Q,,,,,,,,
y003,5,B,0.5,0.12,t5,0.1578,0.1347,0.0545,Q,,,,,,,,
y003,6,B,0.5,0.12,t5,0.2814,0.5703,0.6391,Q,,,,,,,,
y003,7,B,0.5,0.12,t5,0.3463,0.4517,0.7464,Q,,,,,,,,
y003,8,B,0.5,0.12,t5,0.5674,1.102,0.9513,Q,,,,,,,,
y003,9,B,0.5,0.12,t5,0.3848,0.9254,0.9251,Q,,,,,,,,
y003,10,B,0.5,0.12,t5,0.2375,1.0083,1.1669,Q,,,,,,,,
y003,11,B,0.5,0.12,t5,0.0995,0.1446,0.0541,Q,,,,,,,,
y003,12,B,0.5,0.12,t5,0.1056,0.2917,0.4042,Q,,,,,,,,
y003,1,A,0.5,0.5,t5,0.0956,0.2164,0.1308,M,,,,,,,,
y003,2,A,0.5,0.5,t5,0.2615,0.748,1.1278,M,,,,,,,,
y003,3,A,0.5,0.5,t5,0.3304,0.6846,0.7281,M,,,,,,,,
y003,4,A,0.5,0.5,t5,0.195,0.4174,0.3024,M,,,,,,,,
y003,5,A,0.5,0.5,t5,0.3667,0.7394,0.7106,M,,,,,,,,
y003,6,A,0.5,0.5,t5,0.2655,0.5486,0.5946,M,,,,,,,,
y003,7,A,0.5,0.5,t5,0.1932,0.4914,0.3816,M,,,,,,,,
y003,8,A,0.5,0.5,t5,0.2402,0.6015,0.6328,M,,,,,,,,
y003,9,A,0.5,0.5,t5,0.3334,0.7852,0.8047,M,,,,,,,,
y003,10,A,0.5,0.5,t5,0.3989,0.9491,1.0248,M,,,,,,,,
y003,11,A,0.5,0.5,t5,0.3769,0.8217,0.8011,M,,,,,,,,
y003,12,A,0.5,0.5,t5,0.5906,0.9965,1.2193,M,,,,,,,,
y003,1,A mixed,0.5,0.5,t5,,,0.1088,M,,,,,,,,
y003,2,A mixed,0.5,0.5,t5,,,1.1462,M,,,,,,,,
y003,3,A mixed,0.5,0.5,t5,,,0.6913,M,,,,,,,,
y003,4,A mixed,0.5,0.5,t5,,,0.5255,M,,,,,,,,
y003,5,A mixed,0.5,0.5,t5,,,0.9188,M,,,,,,,,
y003,6,A mixed,0.5,0.5,t5,,,0.6884,M,,,,,,,,
y003,7,A mixed,0.5,0.5,t5,,,0.7679,M,,,,,,,,
y003,8,A mixed,0.5,0.5,t5,,,0.6465,M,,,,,,,,
y003,9,A mixed,0.5,0.5,t5,,,0.9014,M,,,,,,,,
y003,10,A mixed,0.5,0.5,t5,,,0.9489,M,,,,,,,,
y003,11,A mixed,0.5,0.5,t5,,,0.925,M,,,,,,,,
y003,12,A mixed,0.5,0.5,t5,,,1.2312,M,,,,,,,,
y003,1,B,0.5,0.5,t5,0.1217,0.1968,0.2046,M,,,,,,,,
y003,2,B,0.5,0.5,t5,0.2376,0.5558,0.9737,M,,,,,,,,
y003,3,B,0.5,0.5,t5,0.3277,0.6764,0.8029,M,,,,,,,,
y003,4,B,0.5,0.5,t5,0.2248,0.6255,0.9533,M,,,,,,,,
y003,5,B,0.5,0.5,t5,0.3922,0.951,1.1023,M,,,,,,,,
y003,6,B,0.5,0.5,t5,0.258,0.6549,0.9103,M,,,,,,,,
y003,7,B,0.5,0.5,t5,0.2414,0.7708,1.0231,M,,,,,,,,
y003,8,B,0.5,0.5,t5,0.2293,0.4274,0.5431,M,,,,,,,,
y003,9,B,0.5,0.5,t5,0.269,0.639,0.8341,M,,,,,,,,
y003,10,B,0.5,0.5,t5,0.2684,0.6288,0.8136,M,,,,,,,,
y003,11,B,0.5,0.5,t5,0.4345,1.0716,1.2807,M,,,,,,,,
y003,12,B,0.5,0.5,t5,0.5385,0.9544,1.0951,M,,,,,,,,
y003,1,B mixed,0.5,0.5,t5,,,0.1117,M,,,,,,,,
y003,2,B mixed,0.5,0.5,t5,,,0.8157,M,,,,,,,,
y003,3,B mixed,0.5,0.5,t5,,,0.8626,M,,,,,,,,
y003,4,B mixed,0.5,0.5,t5,,,0.7785,M,,,,,,,,
y003,5,B mixed,0.5,0.5,t5,,,1.049,M,,,,,,,,
y003,6,B mixed,0.5,0.5,t5,,,0.849,M,,,,,,,,
y003,7,B mixed,0.5,0.5,t5,,,0.8,M,,,,,,,,
y003,8,B mixed,0.5,0.5,t5,,,0.4748,M,,,,,,,,
y003,9,B mixed,0.5,0.5,t5,,,0.9207,M,,,,,,,,
y003,10,B mixed,0.5,0.5,t5,,,1.29,M,,,,,,,,
y003,11,B mixed,0.5,0.5,t5,,,1.2707,M,,,,,,,,
y003,12,B mixed,0.5,0.5,t5,,,1.0281,M,,,,,,,,
y003,1,A,2,0.12,t5,0.1023,0.1071,0.0544,Q,,,,,,,,
y003,2,A,2,0.12,t5,0.1107,0.4353,0.7014,Q,,,,,,,,
y003,3,A,2,0.12,t5,0.1023,0.1235,0.1606,Q,,,,,,,,
y003,4,A,2,0.12,t5,0.1024,0.1182,0.0551,Q,,,,,,,,
y003,5,A,2,0.12,t5,0.1019,0.1178,0.0553,Q,,,,,,,,
y003,6,A,2,0.12,t5,0.1031,0.4415,0.636,Q,,,,,,,,
y003,7,A,2,0.12,t5,0.1259,0.6547,0.8938,Q,,,,,,,,
y003,8,A,2,0.12,t5,0.3727,1.0295,0.957,Q,,,,,,,,
y003,9,A,2,0.12,t5,0.2651,0.7397,0.7658,Q,,,,,,,,
y003,10,A,2,0.12,t5,0.1012,0.1446,0.2439,Q,,,,,,,,
y003,11,A,2,0.12,t5,0.1013,0.1099,0.0543,Q,,,,,,,,
y003,12,A,2,0.12,t5,0.1009,0.2344,0.4232,Q,,,,,,,,
y003,1,B,2,0.12,t5,0.0979,0.103,0.0552,Q,,,,,,,,
y003,2,B,2,0.12,t5,0.1009,0.105,0.0575,Q,,,,,,,,
y003,3,B,2,0.12,t5,0.1032,0.2657,0.5817,Q,,,,,,,,
y003,4,B,2,0.12,t5,0.1005,0.1063,0.0548,Q,,,,,,,,
y003,5,B,2,0.12,t5,0.1008,0.1073,0.0551,Q,,,,,,,,
y003,6,B,2,0.12,t5,0.1015,0.4402,0.6984,Q,,,,,,,,
y003,7,B,2,0.12,t5,0.1014,0.2978,0.5762,Q,,,,,,,,
y003,8,B,2,0.12,t5,0.4325,1.0973,1.0303,Q,,,,,,,,
y003,9,B,2,0.12,t5,0.3012,0.7389,0.7649,Q,,,,,,,,
y003,10,B,2,0.12,t5,0.1186,0.758,1.1568,Q,,,,,,,,
y003,11,B,2,0.12,t5,0.0993,0.1033,0.0544,Q,,,,,,,,
y003,12,B,2,0.12,t5,0.1003,0.5893,0.8406,Q,,,,,,,,
y003,1,A,2,0.5,t5,0.0968,0.1072,0.1298,M,,,,,,,,
y003,2,A,2,0.5,t5,0.2942,0.9283,1.2243,M,,,,,,,,
y003,3,A,2,0.5,t5,0.3413,0.7126,0.7428,M,,,,,,,,
y003,4,A,2,0.5,t5,0.1878,0.3971,0.2542,M,,,,,,,,
y003,5,A,2,0.5,t5,0.3591,0.7097,0.6846,M,,,,,,,,
y003,6,A,2,0.5,t5,0.2206,0.5425,0.5623,M,,,,,,,,
y003,7,A,2,0.5,t5,0.2073,0.3798,0.3189,M,,,,,,,,
y003,8,A,2,0.5,t5,0.2432,0.6159,0.6368,M,,,,,,,,
y003,9,A,2,0.5,t5,0.3492,0.7422,0.7775,M,,,,,,,,
y003,10,A,2,0.5,t5,0.4103,0.9283,0.9879,M,,,,,,,,
y003,11,A,2,0.5,t5,0.4335,0.674,0.5738,M,,,,,,,,
y003,12,A,2,0.5,t5,0.6885,1.0048,1.2235,M,,,,,,,,
y003,1,A mixed,2,0.5,t5,,,0.1064,M,,,,,,,,
y003,2,A mixed,2,0.5,t5,,,1.1591,M,,,,,,,,
y003,3,A mixed,2,0.5,t5,,,0.7112,M,,,,,,,,
y003,4,A mixed,2,0.5,t5,,,0.4809,M,,,,,,,,
y003,5,A mixed,2,0.5,t5,,,0.8754,M,,,,,,,,
y003,6,A mixed,2,0.5,t5,,,0.623,M,,,,,,,,
y003,7,A mixed,2,0.5,t5,,,0.6732,M,,,,,,,,
y003,8,A mixed,2,0.5,t5,,,0.6412,M,,,,,,,,
y003,9,A mixed,2,0.5,t5,,,0.8331,M,,,,,,,,
y003,10,A mixed,2,0.5,t5,,,0.9732,M,,,,,,,,
y003,11,A mixed,2,0.5,t5,,,0.8091,M,,,,,,,,
y003,12,A mixed,2,0.5,t5,,,1.2178,M,,,,,,,,
y003,1,B,2,0.5,t5,0.1361,0.2731,0.226,M,,,,,,,,
y003,2,B,2,0.5,t5,0.3665,0.9334,1.055,M,,,,,,,,
y003,3,B,2,0.5,t5,0.4395,0.7843,0.8273,M,,,,,,,,
y003,4,B,2,0.5,t5,0.2388,0.4588,0.4154,M,,,,,,,,
y003,5,B,2,0.5,t5,0.4683,0.8452,0.8645,M,,,,,,,,
y003,6,B,2,0.5,t5,0.2961,0.5911,0.6349,M,,,,,,,,
y003,7,B,2,0.5,t5,0.2567,0.5138,0.4867,M,,,,,,,,
y003,8,B,2,0.5,t5,0.3079,0.6462,0.6786,M,,,,,,,,
y003,9,B,2,0.5,t5,0.5442,0.8566,0.9444,M,,,,,,,,
y003,10,B,2,0.5,t5,0.5632,0.91,1.0425,M,,,,,,,,
y003,11,B,2,0.5,t5,0.5435,0.8496,0.7847,M,,,,,,,,
y003,12,B,2,0.5,t5,0.8466,0.821,1.0257,M,,,,,,,,
y003,1,B mixed,2,0.5,t5,,,0.1092,M,,,,,,,,
y003,2,B mixed,2,0.5,t5,,,1.156,M,,,,,,,,
y003,3,B mixed,2,0.5,t5,,,0.7243,M,,,,,,,,
y003,4,B mixed,2,0.5,t5,,,0.483,M,,,,,,,,
y003,5,B mixed,2,0.5,t5,,,0.883,M,,,,,,,,
y003,6,B mixed,2,0.5,t5,,,0.5924,M,,,,,,,,
y003,7,B mixed,2,0.5,t5,,,0.6787,M,,,,,,,,
y003,8,B mixed,2,0.5,t5,,,0.5805,M,,,,,,,,
y003,9,B mixed,2,0.5,t5,,,0.8718,M,,,,,,,,
y003,10,B mixed,2,0.5,t5,,,0.9058,M,,,,,,,,
y003,11,B mixed,2,0.5,t5,,,0.845,M,,,,,,,,
y003,12,B mixed,2,0.5,t5,,,1.1687,M,,,,,,,,
y003,1,A,8,0.5,t5,0.1175,0.0983,0.0984,M,,,,,,,,
y003,2,A,8,0.5,t5,0.2294,0.4369,0.8378,M,,,,,,,,
y003,3,A,8,0.5,t5,0.2432,0.3939,0.5491,M,,,,,,,,
y003,4,A,8,0.5,t5,0.2019,0.5709,0.7806,M,,,,,,,,
y003,5,A,8,0.5,t5,0.2729,0.8145,0.8762,M,,,,,,,,
y003,6,A,8,0.5,t5,0.203,0.5111,0.7094,M,,,,,,,,
y003,7,A,8,0.5,t5,0.1815,0.2931,0.4986,M,,,,,,,,
y003,8,A,8,0.5,t5,0.1872,0.2093,0.3142,M,,,,,,,,
y003,9,A,8,0.5,t5,0.2174,0.4603,0.6878,M,,,,,,,,
y003,10,A,8,0.5,t5,0.2247,0.5033,0.7428,M,,,,,,,,
y003,11,A,8,0.5,t5,0.3154,0.5296,0.8396,M,,,,,,,,
y003,12,A,8,0.5,t5,0.4115,1.0041,1.1121,M,,,,,,,,
y003,1,A mixed,8,0.5,t5,,,0.0981,M,,,,,,,,
y003,2,A mixed,8,0.5,t5,,,0.8245,M,,,,,,,,
y003,3,A mixed,8,0.5,t5,,,0.3958,M,,,,,,,,
y003,4,A mixed,8,0.5,t5,,,0.7205,M,,,,,,,,
y003,5,A mixed,8,0.5,t5,,,1.0362,M,,,,,,,,
y003,6,A mixed,8,0.5,t5,,,0.7033,M,,,,,,,,
y003,7,A mixed,8,0.5,t5,,,0.812,M,,,,,,,,
y003,8,A mixed,8,0.5,t5,,,0.3679,M,,,,,,,,
y003,9,A mixed,8,0.5,t5,,,0.5946,M,,,,,,,,
y003,10,A mixed,8,0.5,t5,,,0.8531,M,,,,,,,,
y003,11,A mixed,8,0.5,t5,,,0.9182,M,,,,,,,,
y003,12,A mixed,8,0.5,t5,,,0.8892,M,,,,,,,,
y003,1,B,8,0.5,t5,0.1086,0.104,0.1894,M,,,,,,,,
y003,2,B,8,0.5,t5,0.2816,0.4824,0.8919,M,,,,,,,,
y003,3,B,8,0.5,t5,0.2515,0.2668,0.4512,M,,,,,,,,
y003,4,B,8,0.5,t5,0.2243,0.4796,0.8132,M,,,,,,,,
y003,5,B,8,0.5,t5,0.332,0.4458,0.7093,M,,,,,,,,
y003,6,B,8,0.5,t5,0.2257,0.2507,0.4337,M,,,,,,,,
y003,7,B,8,0.5,t5,0.2189,0.284,0.5445,M,,,,,,,,
y003,8,B,8,0.5,t5,0.2316,0.2869,0.4993,M,,,,,,,,
y003,9,B,8,0.5,t5,0.2911,0.6503,0.9089,M,,,,,,,,
y003,10,B,8,0.5,t5,0.3363,0.6661,0.9269,M,,,,,,,,
y003,11,B,8,0.5,t5,0.4168,0.5813,0.7728,M,,,,,,,,
y003,12,B,8,0.5,t5,0.6243,1.0394,1.022,M,,,,,,,,
y003,1,B mixed,8,0.5,t5,,,0.1178,M,,,,,,,,
y003,2,B mixed,8,0.5,t5,,,0.7543,M,,,,,,,,
y003,3,B mixed,8,0.5,t5,,,0.4536,M,,,,,,,,
y003,4,B mixed,8,0.5,t5,,,0.6563,M,,,,,,,,
y003,5,B mixed,8,0.5,t5,,,0.7972,M,,,,,,,,
y003,6,B mixed,8,0.5,t5,,,0.4563,M,,,,,,,,
y003,7,B mixed,8,0.5,t5,,,0.5556,M,,,,,,,,
y003,8,B mixed,8,0.5,t5,,,0.4531,M,,,,,,,,
y003,9,B mixed,8,0.5,t5,,,0.8445,M,,,,,,,,
y003,10,B mixed,8,0.5,t5,,,0.8554,M,,,,,,,,
y003,11,B mixed,8,0.5,t5,,,0.8888,M,,,,,,,,
y003,12,B mixed,8,0.5,t5,,,1.0134,M,,,,,,,,
y110,1,A,8,,t0,0.3193,0.3976,0.4532,M,,,,,,,,
y110,2,A,4,,t0,0.3209,0.386,0.4378,M,,,,,,,,
y110,3,A,2,,t0,0.4365,0.3331,0.3526,M,,,,,,,,
y110,4,A,1,,t0,0.5205,0.415,0.4088,M,,,,,,,,
y110,5,A,0.5,,t0,0.5751,0.4953,0.5191,M,,,,,,,,
y110,6,A,0.25,,t0,0.6036,0.6989,0.705,M,,,,,,,,
y110,7,A,0.125,,t0,0.553,0.468,0.4894,M,,,,,,,,
y110,8,A,0.63,,t0,0.6466,0.753,0.8189,M,,,,,,,,
y110,9,A,0.31,,t0,0.6322,0.6617,0.7395,M,,,,,,,,
y110,10,A,0.016,,t0,0.4822,0.6231,0.7367,M,,,,,,,,
y110,11,A,0,,t0,1.2752,1.3161,1.3236,M,,,,,,,,
blank,12,A,0,,blank,0.1299,0.1555,0.1428,M,,,,,,,,
y110,1,A mixed,8,,t0,,,0.3643,M,,,,,,,,
y110,2,A mixed,4,,t0,,,0.3527,M,,,,,,,,
y110,3,A mixed,2,,t0,,,0.2615,M,,,,,,,,
y110,4,A mixed,1,,t0,,,0.253,M,,,,,,,,
y110,5,A mixed,0.5,,t0,,,0.3384,M,,,,,,,,
y110,6,A mixed,0.25,,t0,,,0.3749,M,,,,,,,,
y110,7,A mixed,0.125,,t0,,,0.4651,M,,,,,,,,
y110,8,A mixed,0.63,,t0,,,0.4568,M,,,,,,,,
y110,9,A mixed,0.31,,t0,,,0.4391,M,,,,,,,,
y110,10,A mixed,0.016,,t0,,,0.6123,M,,,,,,,,
y110,11,A mixed,0,,t0,,,1.2047,M,,,,,,,,
blank,12,A mixed,0,,blank,,,0.0953,M,,,,,,,,
y110,1,B,8,,t0,0.313,0.397,0.4181,M,,,,,,,,
y110,2,B,4,,t0,0.349,0.4527,0.5204,M,,,,,,,,
y110,3,B,2,,t0,0.326,0.3813,0.4193,M,,,,,,,,
y110,4,B,1,,t0,0.3317,0.3771,0.4104,M,,,,,,,,
y110,5,B,0.5,,t0,0.3457,0.4202,0.4606,M,,,,,,,,
y110,6,B,0.25,,t0,0.3282,0.4094,0.4701,M,,,,,,,,
y110,7,B,0.125,,t0,0.3534,0.4536,0.5195,M,,,,,,,,
y110,8,B,0.63,,t0,0.3787,0.4971,0.5791,M,,,,,,,,
y110,9,B,0.31,,t0,0.3999,0.522,0.6147,M,,,,,,,,
y110,10,B,0.016,,t0,0.4458,0.6179,0.7718,M,,,,,,,,
y110,11,B,0,,t0,1.3068,1.4561,1.5205,M,,,,,,,,
blank,12,B,0,,blank,0.1846,0.2402,0.213,M,,,,,,,,
y110,1,B mixed,8,,t0,,,0.3114,M,,,,,,,,
y110,2,B mixed,4,,t0,,,0.3554,M,,,,,,,,
y110,3,B mixed,2,,t0,,,0.2701,M,,,,,,,,
y110,4,B mixed,1,,t0,,,0.3041,M,,,,,,,,
y110,5,B mixed,0.5,,t0,,,0.3339,M,,,,,,,,
y110,6,B mixed,0.25,,t0,,,0.3572,M,,,,,,,,
y110,7,B mixed,0.125,,t0,,,0.3583,M,,,,,,,,
y110,8,B mixed,0.63,,t0,,,0.4636,M,,,,,,,,
y110,9,B mixed,0.31,,t0,,,0.4067,M,,,,,,,,
y110,10,B mixed,0.016,,t0,,,0.4815,M,,,,,,,,
y110,11,B mixed,0,,t0,,,1.5196,M,,,,,,,,
blank,12,B mixed,0,,blank,,,0.0958,M,,,,,,,,
y110,1,A,0,0.5,t5,0.1961,0.1534,0.1528,M,,,,,,,,
y110,2,A,0,0.5,t5,0.2061,0.1547,0.1562,M,,,,,,,,
y110,3,A,0,0.5,t5,0.1979,0.164,0.1663,M,,,,,,,,
y110,4,A,0,0.5,t5,0.1863,0.1622,0.1685,M,,,,,,,,
y110,5,A,0,0.5,t5,0.1593,0.165,0.1682,M,,,,,,,,
y110,6,A,0,0.5,t5,1.3602,1.3705,1.3858,M,,,,,,,,
y110,7,A,0,0.5,t5,1.3891,1.396,1.4135,M,,,,,,,,
y110,8,A,0,0.5,t5,0.1743,0.151,0.1584,M,,,,,,,,
y110,9,A,0,0.5,t5,0.1614,0.1505,0.1521,M,,,,,,,,
y110,10,A,0,0.5,t5,1.3746,1.3784,1.3949,M,,,,,,,,
y110,11,A,0,0.5,t5,0.1662,0.1525,0.1564,M,,,,,,,,
y110,12,A,0,0.5,t5,0.1585,0.1431,0.1414,M,,,,,,,,
y110,1,A mixed,0,0.5,t5,,,0.0985,M,,,,,,,,
y110,2,A mixed,0,0.5,t5,,,0.1049,M,,,,,,,,
y110,3,A mixed,0,0.5,t5,,,0.1044,M,,,,,,,,
y110,4,A mixed,0,0.5,t5,,,0.0993,M,,,,,,,,
y110,5,A mixed,0,0.5,t5,,,0.1117,M,,,,,,,,
y110,6,A mixed,0,0.5,t5,,,1.2316,M,,,,,,,,
y110,7,A mixed,0,0.5,t5,,,1.2547,M,,,,,,,,
y110,8,A mixed,0,0.5,t5,,,0.1021,M,,,,,,,,
y110,9,A mixed,0,0.5,t5,,,0.0984,M,,,,,,,,
y110,10,A mixed,0,0.5,t5,,,1.2006,M,,,,,,,,
y110,11,A mixed,0,0.5,t5,,,0.1184,M,,,,,,,,
y110,12,A mixed,0,0.5,t5,,,0.0972,M,,,,,,,,
y110,1,B,0,0.5,t5,0.1935,0.1541,0.1533,M,,,,,,,,
y110,2,B,0,0.5,t5,0.2148,0.1631,0.1624,M,,,,,,,,
y110,3,B,0,0.5,t5,0.2053,0.1627,0.1625,M,,,,,,,,
y110,4,B,0,0.5,t5,0.2112,0.1741,0.1709,M,,,,,,,,
y110,5,B,0,0.5,t5,0.188,0.1769,0.1736,M,,,,,,,,
y110,6,B,0,0.5,t5,1.3711,1.3771,1.3839,M,,,,,,,,
y110,7,B,0,0.5,t5,1.3812,1.3922,1.4028,M,,,,,,,,
y110,8,B,0,0.5,t5,0.1882,0.1671,0.1636,M,,,,,,,,
y110,9,B,0,0.5,t5,0.149,0.1691,0.1655,M,,,,,,,,
y110,10,B,0,0.5,t5,1.3459,1.3696,1.3747,M,,,,,,,,
y110,11,B,0,0.5,t5,0.1406,0.1594,0.1585,M,,,,,,,,
y110,12,B,0,0.5,t5,0.1518,0.1485,0.1466,M,,,,,,,,
y110,1,B mixed,0,0.5,t5,,,0.0962,M,,,,,,,,
y110,2,B mixed,0,0.5,t5,,,0.1176,M,,,,,,,,
y110,3,B mixed,0,0.5,t5,,,0.1039,M,,,,,,,,
y110,4,B mixed,0,0.5,t5,,,0.0976,M,,,,,,,,
y110,5,B mixed,0,0.5,t5,,,0.108,M,,,,,,,,
y110,6,B mixed,0,0.5,t5,,,1.2568,M,,,,,,,,
y110,7,B mixed,0,0.5,t5,,,1.298,M,,,,,,,,
y110,8,B mixed,0,0.5,t5,,,0.1017,M,,,,,,,,
y110,9,B mixed,0,0.5,t5,,,0.0993,M,,,,,,,,
y110,10,B mixed,0,0.5,t5,,,1.2443,M,,,,,,,,
y110,11,B mixed,0,0.5,t5,,,0.1291,M,,,,,,,,
y110,12,B mixed,0,0.5,t5,,,0.0964,M,,,,,,,,
y110,1,A,0.5,0.5,t5,0.2638,0.1672,0.1604,M,,,,,,,,
y110,2,A,0.5,0.5,t5,0.2522,0.1691,0.166,M,,,,,,,,
y110,3,A,0.5,0.5,t5,0.2593,0.1809,0.1759,M,,,,,,,,
y110,4,A,0.5,0.5,t5,0.2665,0.1793,0.1775,M,,,,,,,,
y110,5,A,0.5,0.5,t5,0.2666,0.1858,0.1934,M,,,,,,,,
y110,6,A,0.5,0.5,t5,0.335,0.3198,0.3957,M,,,,,,,,
y110,7,A,0.5,0.5,t5,0.3185,0.2658,0.3626,M,,,,,,,,
y110,8,A,0.5,0.5,t5,0.2869,0.1768,0.1777,M,,,,,,,,
y110,9,A,0.5,0.5,t5,0.2711,0.1718,0.1726,M,,,,,,,,
y110,10,A,0.5,0.5,t5,0.3508,0.3262,0.3987,M,,,,,,,,
y110,11,A,0.5,0.5,t5,0.2674,0.166,0.1691,M,,,,,,,,
y110,12,A,0.5,0.5,t5,0.2653,0.175,0.1787,M,,,,,,,,
y110,1,A mixed,0.5,0.5,t5,,,0.1019,M,,,,,,,,
y110,2,A mixed,0.5,0.5,t5,,,0.109,M,,,,,,,,
y110,3,A mixed,0.5,0.5,t5,,,0.1237,M,,,,,,,,
y110,4,A mixed,0.5,0.5,t5,,,0.1075,M,,,,,,,,
y110,5,A mixed,0.5,0.5,t5,,,0.2136,M,,,,,,,,
y110,6,A mixed,0.5,0.5,t5,,,0.3431,M,,,,,,,,
y110,7,A mixed,0.5,0.5,t5,,,0.3511,M,,,,,,,,
y110,8,A mixed,0.5,0.5,t5,,,0.1145,M,,,,,,,,
y110,9,A mixed,0.5,0.5,t5,,,0.1096,M,,,,,,,,
y110,10,A mixed,0.5,0.5,t5,,,0.4179,M,,,,,,,,
y110,11,A mixed,0.5,0.5,t5,,,0.1012,M,,,,,,,,
y110,12,A mixed,0.5,0.5,t5,,,0.0993,M,,,,,,,,
y110,1,B,0.5,0.5,t5,0.2416,0.1647,0.1561,M,,,,,,,,
y110,2,B,0.5,0.5,t5,0.263,0.1766,0.1718,M,,,,,,,,
y110,3,B,0.5,0.5,t5,0.2496,0.1768,0.1753,M,,,,,,,,
y110,4,B,0.5,0.5,t5,0.2418,0.1773,0.1754,M,,,,,,,,
y110,5,B,0.5,0.5,t5,0.2533,0.1802,0.1815,M,,,,,,,,
y110,6,B,0.5,0.5,t5,0.3009,0.2944,0.3427,M,,,,,,,,
y110,7,B,0.5,0.5,t5,0.3043,0.259,0.2757,M,,,,,,,,
y110,8,B,0.5,0.5,t5,0.2535,0.1764,0.18,M,,,,,,,,
